"Date(UTC)","UnixTimeStamp","Value"
"7/30/2015","1438214400","8893"
"7/31/2015","1438300800","0"
"8/1/2015","1438387200","0"
"8/2/2015","1438473600","0"
"8/3/2015","1438560000","0"
"8/4/2015","1438646400","0"
"8/5/2015","1438732800","0"
"8/6/2015","1438819200","0"
"8/7/2015","1438905600","2050"
"8/8/2015","1438992000","2881"
"8/9/2015","1439078400","1329"
"8/10/2015","1439164800","2037"
"8/11/2015","1439251200","4963"
"8/12/2015","1439337600","2036"
"8/13/2015","1439424000","2842"
"8/14/2015","1439510400","3174"
"8/15/2015","1439596800","2284"
"8/16/2015","1439683200","2440"
"8/17/2015","1439769600","2512"
"8/18/2015","1439856000","2494"
"8/19/2015","1439942400","3246"
"8/20/2015","1440028800","2303"
"8/21/2015","1440115200","3919"
"8/22/2015","1440201600","3579"
"8/23/2015","1440288000","4190"
"8/24/2015","1440374400","4432"
"8/25/2015","1440460800","4487"
"8/26/2015","1440547200","4156"
"8/27/2015","1440633600","5590"
"8/28/2015","1440720000","4758"
"8/29/2015","1440806400","4139"
"8/30/2015","1440892800","4572"
"8/31/2015","1440979200","5196"
"9/1/2015","1441065600","5153"
"9/2/2015","1441152000","5195"
"9/3/2015","1441238400","4777"
"9/4/2015","1441324800","5642"
"9/5/2015","1441411200","5519"
"9/6/2015","1441497600","5521"
"9/7/2015","1441584000","5702"
"9/8/2015","1441670400","5622"
"9/9/2015","1441756800","5604"
"9/10/2015","1441843200","5341"
"9/11/2015","1441929600","6460"
"9/12/2015","1442016000","5596"
"9/13/2015","1442102400","6057"
"9/14/2015","1442188800","5572"
"9/15/2015","1442275200","5409"
"9/16/2015","1442361600","5872"
"9/17/2015","1442448000","5368"
"9/18/2015","1442534400","5802"
"9/19/2015","1442620800","5205"
"9/20/2015","1442707200","6402"
"9/21/2015","1442793600","6305"
"9/22/2015","1442880000","6804"
"9/23/2015","1442966400","7404"
"9/24/2015","1443052800","6224"
"9/25/2015","1443139200","5851"
"9/26/2015","1443225600","5907"
"9/27/2015","1443312000","5760"
"9/28/2015","1443398400","6123"
"9/29/2015","1443484800","5738"
"9/30/2015","1443571200","5870"
"10/1/2015","1443657600","6421"
"10/2/2015","1443744000","6063"
"10/3/2015","1443830400","6112"
"10/4/2015","1443916800","6624"
"10/5/2015","1444003200","6279"
"10/6/2015","1444089600","6458"
"10/7/2015","1444176000","7121"
"10/8/2015","1444262400","6926"
"10/9/2015","1444348800","6763"
"10/10/2015","1444435200","6529"
"10/11/2015","1444521600","6023"
"10/12/2015","1444608000","6593"
"10/13/2015","1444694400","6818"
"10/14/2015","1444780800","6830"
"10/15/2015","1444867200","6499"
"10/16/2015","1444953600","6795"
"10/17/2015","1445040000","6567"
"10/18/2015","1445126400","6481"
"10/19/2015","1445212800","6604"
"10/20/2015","1445299200","5897"
"10/21/2015","1445385600","6182"
"10/22/2015","1445472000","5979"
"10/23/2015","1445558400","6888"
"10/24/2015","1445644800","6361"
"10/25/2015","1445731200","5830"
"10/26/2015","1445817600","5938"
"10/27/2015","1445904000","6784"
"10/28/2015","1445990400","7346"
