"Date(UTC)","UnixTimeStamp","Value"
"1/28/2016","1453939200","16765"
"1/29/2016","1454025600","16395"
"1/30/2016","1454112000","14661"
"1/31/2016","1454198400","14166"
"2/1/2016","1454284800","14199"
"2/2/2016","1454371200","14291"
"2/3/2016","1454457600","14274"
"2/4/2016","1454544000","14371"
"2/5/2016","1454630400","15249"
"2/6/2016","1454716800","31418"
"2/7/2016","1454803200","14264"
"2/8/2016","1454889600","14719"
"2/9/2016","1454976000","15517"
"2/10/2016","1455062400","17141"
"2/11/2016","1455148800","21440"
"2/12/2016","1455235200","18109"
"2/13/2016","1455321600","19327"
"2/14/2016","1455408000","16624"
"2/15/2016","1455494400","17159"
"2/16/2016","1455580800","17549"
"2/17/2016","1455667200","19990"
"2/18/2016","1455753600","16969"
"2/19/2016","1455840000","18412"
"2/20/2016","1455926400","16714"
"2/21/2016","1456012800","17119"
"2/22/2016","1456099200","18190"
"2/23/2016","1456185600","18482"
"2/24/2016","1456272000","19540"
"2/25/2016","1456358400","19503"
"2/26/2016","1456444800","21068"
"2/27/2016","1456531200","18981"
"2/28/2016","1456617600","19063"
"2/29/2016","1456704000","20358"
"3/1/2016","1456790400","21778"
"3/2/2016","1456876800","23562"
"3/3/2016","1456963200","24837"
"3/4/2016","1457049600","24287"
"3/5/2016","1457136000","27115"
"3/6/2016","1457222400","27661"
"3/7/2016","1457308800","23271"
"3/8/2016","1457395200","24104"
"3/9/2016","1457481600","24557"
"3/10/2016","1457568000","24814"
"3/11/2016","1457654400","23124"
"3/12/2016","1457740800","27887"
"3/13/2016","1457827200","28127"
"3/14/2016","1457913600","28528"
"3/15/2016","1458000000","29273"
"3/16/2016","1458086400","27596"
"3/17/2016","1458172800","33531"
"3/18/2016","1458259200","31821"
"3/19/2016","1458345600","34779"
"3/20/2016","1458432000","32447"
"3/21/2016","1458518400","32511"
"3/22/2016","1458604800","32890"
"3/23/2016","1458691200","31786"
"3/24/2016","1458777600","36947"
"3/25/2016","1458864000","36762"
"3/26/2016","1458950400","36646"
"3/27/2016","1459036800","29974"
"3/28/2016","1459123200","33613"
"3/29/2016","1459209600","33915"
"3/30/2016","1459296000","36767"
"3/31/2016","1459382400","32259"
"4/1/2016","1459468800","33320"
"4/2/2016","1459555200","29358"
"4/3/2016","1459641600","29588"
"4/4/2016","1459728000","34907"
"4/5/2016","1459814400","39173"
"4/6/2016","1459900800","32078"
"4/7/2016","1459987200","31893"
"4/8/2016","1460073600","34010"
"4/9/2016","1460160000","31923"
"4/10/2016","1460246400","32237"
"4/11/2016","1460332800","30327"
"4/12/2016","1460419200","34673"
"4/13/2016","1460505600","36051"
"4/14/2016","1460592000","34781"
"4/15/2016","1460678400","34959"
"4/16/2016","1460764800","30483"
"4/17/2016","1460851200","40203"
"4/18/2016","1460937600","33513"
"4/19/2016","1461024000","32622"
"4/20/2016","1461110400","32944"
"4/21/2016","1461196800","37181"
"4/22/2016","1461283200","31678"
"4/23/2016","1461369600","31845"
"4/24/2016","1461456000","34046"
"4/25/2016","1461542400","35430"
"4/26/2016","1461628800","32582"
"4/27/2016","1461715200","33847"
"4/28/2016","1461801600","34343"
"4/29/2016","1461888000","37332"
"4/30/2016","1461974400","45769"
"5/1/2016","1462060800","39578"
"5/2/2016","1462147200","41748"
"5/3/2016","1462233600","37821"
"5/4/2016","1462320000","37484"
"5/5/2016","1462406400","38707"
"5/6/2016","1462492800","41271"
"5/7/2016","1462579200","35864"
"5/8/2016","1462665600","40063"
"5/9/2016","1462752000","38560"
"5/10/2016","1462838400","40684"
"5/11/2016","1462924800","40811"
"5/12/2016","1463011200","45002"
"5/13/2016","1463097600","47737"
"5/14/2016","1463184000","45745"
"5/15/2016","1463270400","43073"
"5/16/2016","1463356800","37424"
"5/17/2016","1463443200","40309"
"5/18/2016","1463529600","46033"
"5/19/2016","1463616000","44523"
"5/20/2016","1463702400","45177"
"5/21/2016","1463788800","43621"
"5/22/2016","1463875200","38895"
"5/23/2016","1463961600","43806"
"5/24/2016","1464048000","42911"
"5/25/2016","1464134400","46443"
"5/26/2016","1464220800","51147"
"5/27/2016","1464307200","49006"
"5/28/2016","1464393600","70148"
"5/29/2016","1464480000","45890"
"5/30/2016","1464566400","42927"
"5/31/2016","1464652800","44386"
"6/1/2016","1464739200","42221"
"6/2/2016","1464825600","39666"
"6/3/2016","1464912000","39834"
"6/4/2016","1464998400","37875"
"6/5/2016","1465084800","37896"
"6/6/2016","1465171200","38957"
"6/7/2016","1465257600","46141"
"6/8/2016","1465344000","40433"
"6/9/2016","1465430400","39854"
"6/10/2016","1465516800","40145"
"6/11/2016","1465603200","36901"
"6/12/2016","1465689600","42581"
"6/13/2016","1465776000","46185"
"6/14/2016","1465862400","50335"
"6/15/2016","1465948800","43251"
"6/16/2016","1466035200","43392"
"6/17/2016","1466121600","66558"
"6/18/2016","1466208000","63083"
"6/19/2016","1466294400","51035"
