Date,Open,High,Low,Close,Adj Close,Volume
2020-03-04,0.029459,0.033399,0.028815,0.029976,0.029976,401069
2020-03-05,0.029994,0.031205,0.029729,0.030423,0.030423,370246
2020-03-06,0.030369,0.031032,0.029770,0.030811,0.030811,376632
2020-03-07,0.030811,0.030968,0.028578,0.028882,0.028882,349256
2020-03-08,0.028877,0.029079,0.024954,0.024958,0.024958,380056
2020-03-09,0.024914,0.025494,0.022722,0.023750,0.023750,331834
2020-03-10,0.023727,0.025636,0.023239,0.024845,0.024845,475174
2020-03-11,0.024857,0.025339,0.022470,0.024064,0.024064,383372
2020-03-12,0.024075,0.024150,0.013454,0.013459,0.013459,242895
2020-03-13,0.013488,0.016523,0.011105,0.015661,0.015661,247242
2020-03-14,0.015729,0.016192,0.014758,0.014851,0.014851,199150
2020-03-15,0.014851,0.016538,0.014771,0.015288,0.015288,184355
2020-03-16,0.015271,0.015357,0.012333,0.012970,0.012970,158640
2020-03-17,0.013072,0.014320,0.012908,0.013841,0.013841,195202
2020-03-18,0.013788,0.018535,0.013331,0.014518,0.014518,193462
2020-03-19,0.014489,0.017631,0.014452,0.016974,0.016974,265507
2020-03-20,0.016978,0.018811,0.015433,0.016383,0.016383,215810
2020-03-21,0.016423,0.019395,0.015734,0.017220,0.017220,433469
2020-03-22,0.017170,0.017414,0.015005,0.015082,0.015082,220873
2020-03-23,0.015082,0.016570,0.014691,0.016570,0.016570,230799
2020-03-24,0.016572,0.017732,0.015945,0.017121,0.017121,227864
2020-03-25,0.017120,0.018265,0.016643,0.017480,0.017480,206680
2020-03-26,0.017489,0.017912,0.017028,0.017879,0.017879,240642
2020-03-27,0.017870,0.018885,0.017045,0.017066,0.017066,192825
2020-03-28,0.017108,0.020488,0.016205,0.017430,0.017430,935787
2020-03-29,0.017480,0.020641,0.016464,0.016798,0.016798,1456044
2020-03-30,0.016765,0.020573,0.016699,0.018740,0.018740,914084
2020-03-31,0.018692,0.020117,0.017772,0.018875,0.018875,471580
2020-04-01,0.018875,0.019043,0.017463,0.018280,0.018280,286902
2020-04-02,0.018260,0.019608,0.018178,0.018785,0.018785,280302
2020-04-03,0.018747,0.019582,0.018517,0.018906,0.018906,220660
2020-04-04,0.018906,0.019192,0.018645,0.019049,0.019049,205695
2020-04-05,0.019059,0.019099,0.018346,0.018618,0.018618,223734
2020-04-06,0.018617,0.020041,0.018449,0.019732,0.019732,223527
2020-04-07,0.019748,0.020795,0.019552,0.019922,0.019922,234290
2020-04-08,0.019910,0.020664,0.019725,0.020210,0.020210,228522
2020-04-09,0.020347,0.020451,0.019728,0.020018,0.020018,228426
2020-04-10,0.020034,0.020278,0.018202,0.018350,0.018350,201817
2020-04-11,0.018350,0.018979,0.018225,0.018752,0.018752,194862
2020-04-12,0.018754,0.019859,0.018311,0.019156,0.019156,229777
2020-04-13,0.019148,0.019547,0.017971,0.019444,0.019444,237603
2020-04-14,0.019477,0.020004,0.018974,0.019389,0.019389,246392
2020-04-15,0.019384,0.019631,0.018578,0.018600,0.018600,186163
2020-04-16,0.018599,0.019992,0.018270,0.019593,0.019593,217762
2020-04-17,null,null,null,null,null,null
2020-04-18,0.019563,0.020390,0.019387,0.020193,0.020193,208733
2020-04-19,0.020179,0.020240,0.019179,0.019476,0.019476,276556
2020-04-20,0.019482,0.019736,0.018343,0.018589,0.018589,210770
2020-04-21,0.018591,0.018856,0.018263,0.018719,0.018719,251884
2020-04-22,0.018719,0.019862,0.018557,0.019275,0.019275,203354
2020-04-23,0.019292,0.020070,0.019076,0.019797,0.019797,204921
2020-04-24,0.019811,0.020481,0.019024,0.020204,0.020204,215122
2020-04-25,0.020207,0.021635,0.019712,0.020984,0.020984,189110
2020-04-26,0.020984,0.021951,0.020450,0.020818,0.020818,168186
2020-04-27,0.020864,0.021569,0.020418,0.021404,0.021404,253350
2020-04-28,0.021374,0.022539,0.020417,0.022125,0.022125,324606
2020-04-29,0.022123,0.022980,0.021312,0.022774,0.022774,339897
2020-04-30,0.022756,0.023778,0.020917,0.021272,0.021272,289709
2020-05-01,0.021280,0.023003,0.021270,0.022545,0.022545,291507
2020-05-02,0.022535,0.022861,0.021813,0.022517,0.022517,282054
2020-05-03,0.022543,0.022659,0.021059,0.021459,0.021459,247816
2020-05-04,0.021465,0.022384,0.020209,0.022200,0.022200,257445
2020-05-05,0.022193,0.023291,0.021319,0.022706,0.022706,527126
2020-05-06,0.022724,0.024387,0.022206,0.022667,0.022667,395663
2020-05-07,0.022646,0.023139,0.021668,0.022279,0.022279,365637
2020-05-08,0.022280,0.024550,0.021839,0.023494,0.023494,326185
2020-05-09,0.023529,0.024212,0.023086,0.023139,0.023139,266418
2020-05-10,0.023120,0.024178,0.019860,0.020837,0.020837,245849
2020-05-11,0.020855,0.021910,0.020175,0.021292,0.021292,290836
2020-05-12,0.021300,0.023607,0.021122,0.022479,0.022479,276926
2020-05-13,0.022479,0.023470,0.022479,0.022942,0.022942,264649
2020-05-14,0.022875,0.023784,0.022497,0.022930,0.022930,280760
2020-05-15,0.022925,0.023576,0.021962,0.022507,0.022507,240654
2020-05-16,0.022502,0.025937,0.021915,0.023301,0.023301,256774
2020-05-17,0.023301,0.026080,0.021854,0.024304,0.024304,529610
2020-05-18,0.024304,0.025166,0.023847,0.024165,0.024165,338336
2020-05-19,0.024152,0.026064,0.023720,0.025506,0.025506,344696
2020-05-20,0.025517,0.026591,0.024585,0.025104,0.025104,309044
2020-05-21,0.025119,0.026467,0.024182,0.025435,0.025435,514194
2020-05-22,0.025193,0.027731,0.025009,0.026703,0.026703,613668
2020-05-23,0.026705,0.027054,0.025405,0.026345,0.026345,417899
2020-05-24,0.026344,0.026930,0.024111,0.024137,0.024137,398824
2020-05-25,0.024020,0.028289,0.023731,0.027576,0.027576,718586
2020-05-26,0.027544,0.028654,0.025934,0.027447,0.027447,813649
2020-05-27,0.027447,0.027475,0.025027,0.026154,0.026154,540943
2020-05-28,0.026064,0.028784,0.025901,0.026186,0.026186,512139
2020-05-29,0.026198,0.027718,0.026043,0.027695,0.027695,418467
2020-05-30,0.027716,0.028840,0.027468,0.027906,0.027906,474365
2020-05-31,0.027906,0.030510,0.027204,0.029730,0.029730,702726
2020-06-01,0.029748,0.030372,0.029302,0.029869,0.029869,523362
2020-06-02,0.029869,0.030597,0.027373,0.028627,0.028627,458654
2020-06-03,0.028668,0.029315,0.027908,0.029153,0.029153,456915
2020-06-04,0.029145,0.031429,0.028402,0.030744,0.030744,642944
2020-06-05,0.030720,0.030956,0.029677,0.030450,0.030450,536816
2020-06-06,0.030450,0.030838,0.029956,0.030293,0.030293,460028
2020-06-07,0.030332,0.030444,0.028241,0.029613,0.029613,477384
2020-06-08,0.029626,0.030608,0.029316,0.029781,0.029781,410543
2020-06-09,0.029781,0.032188,0.029537,0.032171,0.032171,532647
2020-06-10,0.032184,0.035665,0.031212,0.031506,0.031506,933459
2020-06-11,0.031492,0.032832,0.027598,0.027608,0.027608,588123
2020-06-12,0.027626,0.030067,0.027282,0.029787,0.029787,479030
2020-06-13,0.029882,0.031493,0.029493,0.030482,0.030482,529627
2020-06-14,0.030497,0.033361,0.030204,0.031331,0.031331,771414
2020-06-15,0.031451,0.031464,0.027520,0.030830,0.030830,566828
2020-06-16,0.030875,0.032814,0.030285,0.032525,0.032525,648369
2020-06-17,0.032525,0.037350,0.032318,0.033542,0.033542,1277434
2020-06-18,0.033586,0.038569,0.033379,0.034213,0.034213,1025213
2020-06-19,0.034259,0.035251,0.032272,0.033804,0.033804,601837
2020-06-20,0.033804,0.035881,0.033430,0.034090,0.034090,519101
2020-06-21,0.034065,0.035295,0.032193,0.032193,0.032193,544436
2020-06-22,0.032328,0.033496,0.031710,0.032266,0.032266,552985
2020-06-23,0.032374,0.033872,0.031760,0.033642,0.033642,699628
2020-06-24,0.033669,0.033997,0.030450,0.030609,0.030609,514911
2020-06-25,0.030533,0.032826,0.029250,0.030713,0.030713,675808
2020-06-26,0.030709,0.031203,0.029155,0.029678,0.029678,509111
2020-06-27,0.029680,0.029892,0.027916,0.028139,0.028139,395810
2020-06-28,0.028139,0.030708,0.027573,0.029604,0.029604,449115
2020-06-29,0.029604,0.030182,0.028800,0.029400,0.029400,412100
2020-06-30,0.029403,0.029879,0.028307,0.029217,0.029217,388546
2020-07-01,0.029201,0.029931,0.028683,0.029585,0.029585,433035
2020-07-02,0.029597,0.029806,0.027880,0.028251,0.028251,414223
2020-07-03,0.028242,0.028702,0.027945,0.028542,0.028542,443846
2020-07-04,0.028576,0.028808,0.027809,0.028180,0.028180,366669
2020-07-05,0.028028,0.030452,0.028004,0.029914,0.029914,539898
2020-07-06,0.029914,0.032884,0.029914,0.031513,0.031513,622124
